"","config","activation","alpha","hidden_layer_sizes","max_iter","solver","rpt","mean_test_score","std_test_score","train_cpu_duration","train_runtime_duration","train_cpu_meter_result","train_dram_meter_result","test_cpu_duration","test_runtime_duration","test_cpu_meter_result","test_dram_meter_result","test_accuracy_result","DominanceCount","PF"
"394",115,"logistic",0.002,"(5,)",400,"adam",14.5,0.67023988005997,0.0322301172794181,0.438683737011161,0.438643336296082,25380031.5,0,0.133247191512055,0.133235573768616,7699473.5,0,0.677083333333333,0,1
"448",130,"logistic",0.002,"(10,)",800,"adam",14.5,0.701499250374813,0.0422077724899978,0.953386767489292,0.953297257423401,54995007.5,0,0.153801110951463,0.153787612915039,8877418.5,0,0.739583333333333,0,1
"683",1262,"relu",0.002,"(5,)",100,"lbfgs",14.5,0.671934032983508,0.0290657284825898,0.0574762299875147,0.0574713945388794,3336051.5,0,0.152486942482938,0.152473449707031,8820381,0,0.645833333333333,0,1
"812",1649,"relu",1e-04,"(5,)",200,"lbfgs",14.5,0.70304347826087,0.0367796277957506,0.116370451956755,0.116360068321228,6707106,0,0.155415130546317,0.155401229858398,8979866.5,0,0.697916666666667,0,1
"813",1073,"tanh",1e-04,"(5,)",200,"lbfgs",14.5,0.666836581709146,0.0565349325846242,0.112328002494905,0.11231803894043,6498304.5,0,0.12792612548219,0.127914905548096,7404339,0,0.723958333333333,0,1
"866",1664,"relu",1e-04,"(10,)",400,"lbfgs",14.5,0.750029985007496,0.0172521705359775,0.248395939968759,0.248375296592712,14315942,0,0.158432225987781,0.15841805934906,9154608.5,0,0.776041666666667,0,1
"872",1472,"relu",5e-04,"(10,)",400,"lbfgs",14.5,0.750059970014992,0.0312257683273001,0.208028190420009,0.208016157150269,12020355,0,0.159113390982384,0.159099340438843,9221718,0,0.796875,0,1
"923",1580,"relu",2e-04,"(20,)",400,"lbfgs",14.5,0.765697151424288,0.0328374029940075,6.14424434499961,0.385947942733765,30687575.5,0,3.18496339749981,0.208693861961365,16941271,0,0.78125,0,1
"1100",1655,"relu",1e-04,"(5,)",800,"lbfgs",14.5,0.711739130434783,0.0254858276343528,0.299987622478511,0.300004124641418,17304491,0,0.155680351017509,0.155668258666992,9012917,0,0.692708333333333,0,1
"1101",1079,"tanh",1e-04,"(5,)",800,"lbfgs",14.5,0.659850074962519,0.0439374398293368,0.344923602475319,0.344895601272583,19960825,0,0.121131127012632,0.121126294136047,7014020.5,0,0.734375,0,1
"1115",1271,"relu",0.002,"(5,)",800,"lbfgs",14.5,0.687496251874063,0.0252255012834932,0.185578648961382,0.185561776161194,10716128.5,0,0.153164741001092,0.153151154518127,8830849,0,0.661458333333333,0,1
"1350",675,"tanh",0.002,"(2,)",200,"sgd",14.5,0.654512743628186,0.0349468283806404,0.147052804517443,0.147039651870728,8500924.5,0,0.113043700024718,0.113033890724182,6538283,0,0.640625,0,1
